Temps(s),EDWiN + Clustering,EDWiN,Sans D2D
376,36,44,37
377,36,45,37
378,36,46,37
379,37,46,37
380,37,47,38
381,37,48,38
382,37,50,38
383,37,51,38
384,37,53,38
385,37,54,38
386,37,55,38
387,37,57,38
388,37,58,38
389,38,59,38
390,38,61,39
391,38,63,39
392,38,65,39
393,38,66,39
394,38,67,39
395,38,68,39
396,38,70,39
397,38,71,39
398,38,72,39
399,38,74,39
400,39,75,40
401,39,77,40
402,39,78,40
403,39,79,40
404,39,79,40
405,39,81,40
406,39,82,40
407,39,85,40
408,39,87,40
409,39,89,40
410,40,92,41
411,40,94,41
412,41,97,41
413,41,97,41
414,42,97,41
415,42,97,41
416,43,98,41
417,43,99,41
418,44,99,41
419,44,99,41
420,45,100,42
421,46,100,42
422,46,100,42
423,47,100,42
424,48,100,42
425,48,100,42
426,49,100,42
427,50,100,42
428,50,100,42
429,51,100,42
430,52,100,43
431,52,100,43
432,53,100,43
433,54,100,43
434,54,100,43
435,55,100,43
436,55,100,43
437,56,100,43
438,57,100,43
439,57,100,43
440,58,100,44
441,59,100,44
442,59,100,44
443,60,100,44
444,60,100,44
445,60,100,44
446,60,100,44
447,60,100,44
448,60,100,44
449,60,100,44
450,60,100,45
451,60,100,45
452,61,100,45
453,61,100,45
454,61,100,45
455,61,100,45
456,61,100,45
457,61,100,45
458,61,100,45
459,61,100,45
460,61,100,46
461,62,100,46
462,62,100,46
463,62,100,46
464,62,100,46
465,62,100,46
466,62,100,46
467,62,100,46
468,62,100,46
469,63,100,46
470,63,100,47
471,63,100,47
472,63,100,47
473,63,100,47
474,63,100,47
475,63,100,47
476,63,100,47
477,63,100,47
478,64,100,47
479,64,100,47
480,64,100,48
481,64,100,48
482,64,100,48
483,64,100,48
484,64,100,48
485,64,100,48
486,64,100,48
487,65,100,48
488,65,100,48
489,65,100,48
490,65,100,49
491,65,100,49
492,65,100,49
493,65,100,49
494,65,100,49
495,65,100,49
496,66,100,49
497,66,100,49
498,66,100,49
499,66,100,49
500,66,100,50
501,66,100,50
502,66,100,50
503,66,100,50
504,67,100,50
505,67,100,50
506,67,100,50
507,67,100,50
508,67,100,50
509,67,100,50
510,67,100,51
511,67,100,51
512,67,100,51
513,68,100,51
514,68,100,51
515,68,100,51
516,68,100,51
517,68,100,51
518,68,100,51
519,68,100,51
520,68,100,52
521,68,100,52
522,69,100,52
523,69,100,52
524,69,100,52
525,69,100,52
526,69,100,52
527,69,100,52
528,69,100,52
529,69,100,52
530,69,100,53
531,70,100,53
532,70,100,53
533,70,100,53
534,70,100,53
535,70,100,53
536,70,100,53
537,70,100,53
538,70,100,53
539,70,100,53
540,71,100,54
541,71,100,54
542,71,100,54
543,71,100,54
544,71,100,54
545,71,100,54
546,71,100,54
547,71,100,54
548,71,100,54
549,72,100,54
550,72,100,55
551,72,100,55
552,72,100,55
553,72,100,55
554,72,100,55
555,72,100,55
556,72,100,55
557,72,100,55
558,72,100,55
559,73,100,55
560,73,100,56
561,73,100,56
562,73,100,56
563,73,100,56
564,73,100,56
565,73,100,56
566,73,100,56
567,73,100,56
568,74,100,56
569,74,100,56
570,74,100,57
571,74,100,57
572,74,100,57
573,74,100,57
574,74,100,57
575,74,100,57
576,74,100,57
577,75,100,57
578,75,100,57
579,75,100,57
580,75,100,58
581,75,100,58
582,75,100,58
583,75,100,58
584,75,100,58
585,75,100,58
586,76,100,58
587,76,100,58
588,76,100,58
589,76,100,58
590,76,100,59
591,76,100,59
592,76,100,59
593,76,100,59
594,76,100,59
595,76,100,59
596,77,100,59
597,77,100,59
598,77,100,59
599,77,100,59
600,77,100,60
601,77,100,60
602,77,100,60
603,77,100,60
604,77,100,60
605,78,100,60
606,78,100,60
607,78,100,60
608,78,100,60
609,78,100,60
610,78,100,61
611,78,100,61
612,78,100,61
613,78,100,61
614,79,100,61
615,79,100,61
616,79,100,61
617,79,100,61
618,79,100,61
619,79,100,61
620,79,100,62
621,79,100,62
622,79,100,62
623,80,100,62
624,80,100,62
625,80,100,62
626,81,100,62
627,81,100,62
628,81,100,62
629,82,100,62
630,82,100,63
631,82,100,63
632,82,100,63
633,83,100,63
634,83,100,63
635,84,100,63
636,84,100,63
637,84,100,63
638,85,100,63
639,85,100,63
640,86,100,64
641,86,100,64
642,86,100,64
643,87,100,64
644,87,100,64
645,88,100,64
646,88,100,64
647,88,100,64
648,89,100,64
649,89,100,64
650,90,100,65
651,90,100,65
652,90,100,65
653,91,100,65
654,91,100,65
655,91,100,65
656,92,100,65
657,92,100,65
658,92,100,65
659,93,100,65
660,93,100,66
661,93,100,66
662,94,100,66
663,94,100,66
664,94,100,66
