Time(s),ChunksFromAp,ChunksFromDevices,GoodActive,BadActive,Active
704,140,736,15,0,15
705,140,736,15,0,15
706,141,736,15,0,15
707,141,736,15,0,15
708,141,736,15,0,15
709,141,736,15,0,15
710,141,736,15,0,15
711,142,736,15,0,15
712,142,736,15,0,15
713,142,736,15,0,15
714,142,736,15,0,15
715,142,736,15,0,15
716,143,736,15,0,15
717,143,736,15,0,15
718,143,736,15,0,15
719,143,736,15,0,15
720,143,736,15,0,15
721,144,736,17,0,17
722,144,736,17,0,17
723,144,736,17,0,17
724,144,736,17,0,17
725,144,736,17,0,17
726,145,736,17,0,17
727,145,736,17,0,17
728,145,736,17,0,17
729,145,736,17,0,17
730,145,736,17,0,17
731,146,736,17,0,17
732,146,736,17,0,17
733,146,736,17,0,17
734,146,736,17,0,17
735,146,736,17,0,17
736,147,736,17,0,17
737,147,736,17,0,17
738,147,736,17,0,17
739,147,736,17,0,17
740,147,736,17,0,17
741,148,736,17,0,17
742,148,736,17,0,17
743,148,736,17,0,17
744,148,736,17,0,17
745,148,736,17,0,17
746,149,736,17,0,17
747,149,736,17,0,17
748,149,736,17,0,17
749,149,736,17,0,17
750,149,736,17,0,17
751,150,736,17,0,17
752,150,736,17,0,17
753,150,736,17,0,17
754,150,736,17,0,17
755,150,736,17,0,17
756,151,736,17,0,17
757,151,736,17,0,17
758,151,736,17,0,17
759,151,736,17,0,17
760,151,736,17,0,17
761,152,736,17,0,17
762,152,736,17,0,17
763,152,736,17,0,17
764,152,736,17,0,17
765,152,736,17,0,17
766,153,736,17,0,17
767,153,736,17,0,17
768,153,736,17,0,17
769,153,736,17,0,17
770,153,736,17,0,17
771,154,736,19,0,19
772,154,736,19,0,19
773,154,736,19,0,19
774,154,736,19,0,19
775,154,736,19,0,19
776,155,736,19,0,19
777,155,736,19,0,19
778,155,736,19,0,19
779,155,736,19,0,19
780,155,736,19,0,19
781,156,736,19,0,19
782,156,736,19,0,19
783,156,736,19,0,19
784,156,736,19,0,19
785,156,736,19,0,19
786,157,736,19,0,19
787,157,736,19,0,19
788,157,736,19,0,19
789,157,736,19,0,19
790,157,736,19,0,19
791,158,736,19,0,19
792,158,736,19,0,19
793,158,736,19,0,19
794,158,736,19,0,19
795,158,736,19,0,19
796,159,736,19,0,19
797,159,736,19,0,19
798,159,736,19,0,19
799,159,736,19,0,19
800,159,736,19,0,19
801,160,736,19,0,19
802,160,736,19,0,19
803,160,736,19,0,19
804,160,736,19,0,19
805,160,736,19,0,19
806,161,736,19,0,19
807,161,736,19,0,19
808,161,736,19,0,19
809,161,736,19,0,19
810,161,736,19,0,19
811,162,736,19,0,19
812,162,736,19,0,19
813,162,736,19,0,19
814,162,736,19,0,19
815,162,736,19,0,19
816,163,736,19,0,19
817,163,736,19,0,19
818,163,736,19,0,19
819,163,736,19,0,19
820,163,736,19,0,19
821,164,736,21,0,21
822,164,736,21,0,21
823,164,741,21,0,21
824,164,741,21,0,21
825,164,746,21,0,21
826,165,746,21,0,21
827,165,746,21,0,21
