Algorithm,NetSize,MaxPar,Chunk count,Population,BadDevices,Experiment,Completion time
simu,201,17,10,30,10,8,2447
simu,201,17,10,30,10,9,2443
simu,201,17,10,30,20,10,2720
simu,201,17,10,30,20,1,2720
simu,201,17,10,30,20,2,2725
simu,201,17,10,30,20,3,2735
simu,201,17,10,30,20,4,2725
simu,201,17,10,30,20,5,2730
simu,201,17,10,30,20,6,2735
simu,201,17,10,30,20,7,2720
simu,201,17,10,30,20,8,2735
simu,201,17,10,30,20,9,2735
simu,201,17,10,40,0,10,2440
simu,201,17,10,40,0,1,2437
simu,201,17,10,40,0,2,2442
simu,201,17,10,40,0,3,2427
simu,201,17,10,40,0,4,2430
simu,201,17,10,40,0,5,2441
simu,201,17,10,40,0,6,2435
simu,201,17,10,40,0,7,2429
simu,201,17,10,40,0,8,2441
simu,201,17,10,40,0,9,2436
simu,201,17,10,40,10,10,2443
simu,201,17,10,40,10,1,2438
simu,201,17,10,40,10,2,2449
simu,201,17,10,40,10,3,2445
simu,201,17,10,40,10,4,2440
simu,201,17,10,40,10,5,2444
simu,201,17,10,40,10,6,2440
simu,201,17,10,40,10,7,2444
simu,201,17,10,40,10,8,2443
simu,201,17,10,40,10,9,2437
simu,201,17,10,40,20,10,2975
simu,201,17,10,40,20,1,2975
simu,201,17,10,40,20,2,2965
simu,201,17,10,40,20,3,2965
simu,201,17,10,40,20,4,2965
simu,201,17,10,40,20,5,2970
simu,201,17,10,40,20,6,2975
simu,201,17,10,40,20,7,2965
simu,201,17,10,40,20,8,2970
simu,201,17,10,40,20,9,2975
simu,201,33,10,0,0,10,4510
simu,201,33,10,0,0,1,4507
simu,201,33,10,0,0,2,4508
simu,201,33,10,0,0,3,4512
simu,201,33,10,0,0,4,4506
simu,201,33,10,0,0,5,4514
simu,201,33,10,0,0,6,4502
simu,201,33,10,0,0,7,4508
simu,201,33,10,0,0,8,4511
simu,201,33,10,0,0,9,4510
simu,201,33,10,0,10,10,4512
simu,201,33,10,0,10,1,4516
simu,201,33,10,0,10,2,4514
simu,201,33,10,0,10,3,4510
simu,201,33,10,0,10,4,4508
simu,201,33,10,0,10,5,4517
simu,201,33,10,0,10,6,4512
simu,201,33,10,0,10,7,4505
simu,201,33,10,0,10,8,4510
simu,201,33,10,0,10,9,4505
simu,201,33,10,0,20,10,4511
simu,201,33,10,0,20,1,4510
simu,201,33,10,0,20,2,4511
simu,201,33,10,0,20,3,4519
simu,201,33,10,0,20,4,4506
simu,201,33,10,0,20,5,4513
simu,201,33,10,0,20,6,4508
simu,201,33,10,0,20,7,4516
simu,201,33,10,0,20,8,4513
simu,201,33,10,0,20,9,4504
simu,201,33,10,10,0,10,1494
simu,201,33,10,10,0,1,1531
simu,201,33,10,10,0,2,1545
simu,201,33,10,10,0,3,1535
simu,201,33,10,10,0,4,1550
simu,201,33,10,10,0,5,1533
simu,201,33,10,10,0,6,1528
simu,201,33,10,10,0,7,1531
simu,201,33,10,10,0,8,1496
simu,201,33,10,10,0,9,1522
simu,201,33,10,10,10,10,1523
simu,201,33,10,10,10,1,1516
simu,201,33,10,10,10,2,1529
simu,201,33,10,10,10,3,1532
simu,201,33,10,10,10,4,1535
simu,201,33,10,10,10,5,1505
simu,201,33,10,10,10,6,1544
simu,201,33,10,10,10,7,1507
simu,201,33,10,10,10,8,1540
simu,201,33,10,10,10,9,1493
simu,201,33,10,10,20,10,2165
simu,201,33,10,10,20,1,2155
simu,201,33,10,10,20,2,2185
simu,201,33,10,10,20,3,2195
simu,201,33,10,10,20,4,2180
simu,201,33,10,10,20,5,2190
simu,201,33,10,10,20,6,2175
simu,201,33,10,10,20,7,2180
simu,201,33,10,10,20,8,2165
simu,201,33,10,10,20,9,2180
simu,201,33,10,20,0,10,1373
simu,201,33,10,20,0,1,1375
simu,201,33,10,20,0,2,1368
simu,201,33,10,20,0,3,1384
